Date,Title,Close
2013-10-09,Dismal markets Check Tulsians bets make profits CDR rules fortify banks cut projectrisk India Ratings,95.279999
2013-10-08,Fewer PSU shares key indices compared pvt peersPNB director ends tenure,93.529999
2013-10-01,recall serious impact UB Group HP Ranina Banks recall KFA loans meeting management,92.379997
2013-09-23,4 banks deal Kingfisher recovery find law firmKingfisher loan recall messy affair BMR Advisors,96.769997
2013-09-20,director ends tenure,103.110001
2013-09-19,FinMin appoint 9 new CMDs PSU banks 10 shortlistedBad loans banks rise 50 first 9 months Study,111.360001
2013-09-17,Super Six stocks bet Feb 20,99.989998
2013-09-16,Buy Punjab Sukhani,101.620003
2013-09-04,Do need banks bigger banks,82.519997
2013-09-02,LT BHEL RIL top picks Baliga,87.75
2013-08-30,Buy target Rs 936 Firstcall Research,85.970001
2013-08-27,Buy RIL Baliga,91.800003
2013-08-26,allot 142 cr shares Govt India Rs 87305share,95.849998
2013-08-21,Govt infuses Rs 1248 cr BoI gets Rs 809 crPNB allots 142 cr shares Govt India Rs 87305share,95.860001
2013-08-20,Prefer Nomura,95.650002
2013-08-19,Super Six stocks bet March 18,95.919998
2013-08-12,Renewed buying seen ACC Ambuja Cements SP Tulsian,107.010002
2013-08-07,Switch BoB Central India Sukhani,106.540001
2013-08-01,Xpress Money plans free insurance remit card boost biz,108.82
2013-07-30,SP Tulsian bets banks autos cement next week,113.18
2013-07-26,revises interest rates FCNRB depositsPNB revises interest rates domestic retail deposits,118.779999
2013-07-25,loans miss FY13 RBI projection grow 14 yoyRecovery better loans steel power still concern Buy Punjab 760 Call VK Sharma Check Top chart picks market experts,125.129997
2013-07-22,top pick banking space Murlidharan,129.070007
2013-07-17,Private banks post 23 PAT growth Q4FY13 Angel,124.300003
2013-07-16,Expect banks NIM remain stable Q4 Kotak SecuritiesBanking sector results preview Q4FY13 Motilal OswalShort advises Siddharth Bhamre,125.160004
2013-07-15,How banks dress books meet loan deposit growth targets,132.440002
2013-07-12,HDFC Securities sees value Punjab,126.699997
2013-07-11,Buy Punjab Sukhani See upside Sukhani,126.029999
2013-07-10,FY13 results May 09 2013,124.410004
2013-07-04,board consider dividend,124.010002
2013-07-03,RBI Credit Policy Banks unlikely cut rates soon relief EMIs,124.370003
2013-07-02,Buy Tata Steel 320 Call 740 Put Sharma,131.050003
2013-07-01,Cobrapost 2 FinMin calls action banks investigate,133.75
2013-06-28,Cobrapost expose Banks suspend employees FinMin heatTulsian cautions traders going long PSU banks Sell says Sudarshan Sukhani,130.169998
2013-06-24,Heres expect Punjab Q4 earningsPunjab touch Rs 698 downside Vayalar,129.729996
2013-06-20,gains hopes improving asset qualityAccumulate Punjab advises Sekhar SP Tulsian negative Nifty may touch 12300 Angel Broking bets target Rs 880 Market pressures may drag NIM 33 Punjab fixes book closure dividend AGMPNB board recommends 270 dividendPunjab Q4 net falls 21 higher provisions,137.610001
2013-06-14,Sukhani advises stay away PSU banks Exit Central India Rs 85 Parag Doctor Buy Punjab target Rs 1021 Dolat Capital,148.25
2013-06-13,Short HDFC Sudarshan Sukhani Buy Punjab target Rs 844 Firstcall Research,144.360001
2013-06-12,Cobrapost What worries incentive culture revised Buy Punjab Ventura SecuritiesPN Vijay bullish HCL Tech TCS IndusInd Yes,150.850006
2013-06-05,Prefer Kotak Mahindra Sudarshan Sukhani,152.960007
2013-06-04,resistance Rs 850 SP Tulsian,152.009995
2013-05-31,Here bad loans affected banks JanMarch quarter,152.009995
2013-05-30,22 listed companies may default FY14 India RatingsLenders group recover Rs 4Kcr default Winsome,159.600006
2013-05-29,credit grows 1465 yoy fortnight ended May 17,160.419998
2013-05-28,RBI stiffens loan restructuring norms banksSuper Six stocks bet May 30,162.100006
2013-05-24,Short HDFC Sukhani,157.509995
2013-05-23,Buy Yes 490 Put says VK Sharma,154.339996
2013-05-20,Punjab Change directoratePNB revises interest rates FCNRB deposits,167.100006
2013-05-15,Check Top intraday picks June 05 HDFC may slip Sukhani,164.490005
2013-05-14,Punjab may fall Rs 710720 Amit Gupta,153.160004
2013-05-13,Heres latest credit grew May 17 fortnightCheck Top super six stocks day,151.619995
2013-05-10,Fitch revises outlook 10 Indian financial institutions,154.190002
2013-05-09,Punjab AGM June 29 2013,156.660004
2013-05-08,Short Punjab Baroda Sukhani Failed ATM transactionSBI pay fine refund delay,149.759995
2013-05-07,Buy State India BoI Tulsian,149.589996
2013-05-06,Sell Punjab says Manoj Murlidharan Vayalar RBI revises KYC guidelines advises new set norms,147.779999
2013-05-03,Bankborrowings RBI repo window hit 9month lowBuy Axis 1300 Put says VK Sharma Go long ITC Lupin sell Chaturmohta Take action loan defaulters Chidambaram banksGoldman cuts Punjab neutral,148.779999
2013-05-02,Sell UCO rallies Mayuresh Joshi Short India Sukhani,153.710007
2013-04-29,Buy Divis Labs sell Punjab Sukhani,156.960007
2013-04-22,Bankers demand CRR cut interest RBISell Punjab says Sukhani,156.289993
2013-04-18,Shardul Kulkarni advises selling Rs 630,153.300003
2013-04-17,RBI fines 22 banks warns 7 KYC violations,149.5
2013-04-16,New hiring Indian Banks Association sparks controversy,148.089996
2013-04-11,target Rs 585 Sudarshan Sukhani Punjab Q1 results July 26 2013,141.919998
2013-04-05,may test Rs 670 Kunal Bothra,143.949997
2013-04-03,Heres expect Punjab Q1 earningsPNB Q1 Motilal Oswal expects PAT fall 2 Rs 1108 crPNB Q1 net seen 21 Rs 12722 cr Nirmal Bang,145.360001
2013-04-01,seeks Rs 1500 cr capital support govtPick long term says Sharmila Joshi Hope maintain margin 35 going ahead PNBs asset quality woes poor nos continue Experts Q1 net 23 Rs 1275 NPAs NPAs surge,144.979996
2013-03-28,revises interest rates FCNRB deposits,143.580002
2013-03-25,Super regulator panel raises concern credit quality,144.820007
2013-03-22,Bad loans shackle FY14 net hurt smaller rivals,145.449997
2013-03-19,Punjab revises interest rates FCNRB deposits,153.990005
2013-03-18,Check Out Super Six stocks August 19,158.899994
2013-03-15,Sell buy Sudarshan Sukhani Check Trading picks short term gain,159.399994
2013-03-06,Last min rush RBI allows 29 banks collect income taxSBI Allahabad Yes may rise 510 SP Tulsian,161.860001
2013-03-04,revises interest rates domestic retail deposits,156.350006
2013-03-01,Barclays downgrades staterun financial shares,157.729996
2013-02-25,revises interest rates FCNRB deposits,168.949997
2013-02-21,Stay invested advises Sudarshan Sukhani,168.399994
2013-02-20,may touch Rs 470475 Ashish Chaturmohta Go long ICICI Siddharth Bhamre,173.240005
2013-02-18,Trading Calls Heres brokerages recommending,170.039993
2013-02-15,Short around Rs 520523 Edelweiss,169.169998
2013-02-13,On verge extinction UP sugar mills send SoS govt,170.089996
2013-02-12,revises interest rates FCNRB depositsPNB revises interest rates NRE Term Deposits,172.139999
2013-02-11,Cut interest rates revive retail credit PNBs Kamath Credit growth 1718 feasible FY14 BoBs Mundra Punjab appoints Gauri Shankar executive director,171.789993
2013-02-08,Sell Oct futures advises Shardul Kulkarni slashes interest rates car consumer goods loansShort Dena Sudarshan Sukhani,172.509995
2013-02-07,Buy ICICI Manoj Murlidharan Vayalar,175.460007
2013-02-06,Trading Calls Heres brokerages betting,176.179993
2013-02-04,Sell HCL Tech IOC buy Sudarshan Sukhani,176.539993
2013-02-01,issue equity shares preferential basis,179.970001
2013-01-31,Sell LIC Housing Voltas buy Tech Mahindra Malkan Punjab Banks Q2 results Nov 08 2013Buy dips advises Siddharth Bhamre Bulls Eye Buy Titan Bajaj Finance short LIC Housing,182.419998
2013-01-30,revises interest rates FCNRB deposits,166.729996
2013-01-29,Q2 PAT may fall 11 Rs 951 cr asset quality key Q2 PAT may dip 225 Rs 8259cr Motilal Oswal,171.850006
2013-01-28,Buy banking stocks correction Vikas Khemani Diageo may miss deadline acquire 2740 stake USLExperts disappointed Q2 blame high provisionsBuy PSU banks decline advises Mehraboon Irani Hold says Vishal Malkan raises FD rates 050Consolidation complete return growth strategy revises interest rates term depositsPNB Q2 net falls 526 Rs 5055cr higher provisionPNB Updates issue equity capital preferential basis GoI,174.509995
2013-01-25,See 58 downside PSU banks Shardul kulkarni Hold Punjab target Rs 520 ICICIdirectcom,174.669998
2013-01-24,Net bad loans 40 banks soar 38 Rs 13 tn H1Expect upmove says Sudarshan Sukhani Prefer Gopi Suvanam,170.429993
2013-01-18,Prefer Rakesh Arora,178.860001
2013-01-17,Punjab Banks EGM Dec 16 2013Buy BoB lower levels Ambareesh Baliga,178.110001
2013-01-16,Hold says Siddharth Teli Central Govt nominates Aradhana Misra Punjab board,176.589996
2013-01-15,Short Punjab says Sudarshan Sukhani,180.169998
2013-01-14,Sell advises Shardul Kulkarni Updates relevant date preferential issue,181.089996
2013-01-10,revises interest rates FCNRB depositsPNB may touch Rs 575580 says Hemant Thukral,177.639999
2013-01-09,revises interest rates FCNRB deposits,177.600006
2013-01-07,Bulls Eye Buy Tata Elxsi Arvind Tech Mahindra NALCO,180.559998
2013-01-04,Buy Punjab target Rs 630 Firstcall Research,181.619995
2013-01-03,PSU banks may sell rivals insurance products,179.360001
2013-01-02,Accumulate correction Sanjay Dutt Buy Punjab dips Sukhani Super Six stocks bet December 26,181.100006
2013-01-01,Go long short Gopi Suvanam,178.490005
2014-12-31,revises interest rates FCNRB deposits,219.100006
2014-12-22,Buy UCO correction Vikas Khemani,223.350006
2014-12-17,Punjab Updates outcome EGM,217.210007
2014-12-16,Buy Punjab JSW Energy SystematixBuy BoB HDFC ICICI Sukhani,214.369995
2014-12-15,Punjab Q3 results Jan 31 2014,219.330002
2014-12-05,may move Rs 640 Chandan Taparia,224.389999
2014-12-01,GoI nominates Gautam Premnath Khandelwal board,215.949997
2014-11-28,FinMin sets panel iron insurance broking issues,214.460007
2014-11-26,Short says Sudarshan Sukhani,193.869995
2014-11-24,Expect catch industry loan growth next qtr Q3 Result analysis Bad loans PSU banks stabilise Heres PSU Banks focus Buy target Rs 600610 Rajesh Agarwal Sell Punjab rally Shubham Agarwal track despite lower expected profit Experts Q3 net falls 42 Rs 755 cr asset quality betterPunjab fixes record date interim dividendPunjab Board declares interim dividendPunjab may test Rs 490500 Shardul Kulkarni Punjab may slip Rs 500 SP Tulsian Q3 PAT seen 28 asset quality key Poll announce Q3 results today,197.270004
2014-11-21,Buy target Rs 575580 Chandan Taparia,195.460007
2014-11-19,Sell advises Shubham Agarwal,192.610001
2014-11-14,Go long IRB Infra short SP Tulsian,187.720001
2014-11-11,Buy IOC MM Financial Godrej Industries SP Tulsian India may dip 1015 Gautam Shah,190.809998
2014-11-10,sell entire stake India Factoring Financial Solutions,184.509995
2014-11-07,Super Six stocks bet February 18,188.050003
2014-11-05,Avoid banking space says Gopi Suvanam Buy HDFC Tata Power sell Sudarshan Sukhani,189.970001
2014-11-03,Buy 560 Call 1550 Call VK Sharma Check Top five trading stocks short term gain,189.929993
2014-10-31,revises interest rates FCNRB deposits,186.169998
2014-10-30,sells entire stake CIBIL TransUnion International Inc,183.160004
2014-10-29,Buy Punjab advises Sudarshan Sukhani,180.960007
2014-10-28,Prefer BoB Coal India Deven Choksey,184.320007
2014-10-21,good bet says Gopi Suvanam,186.490005
2014-10-20,Punjab Banks appointment sxecutive directorRakesh Sethi resigns executive director,191.089996
2014-10-16,Short Ranbaxy Labs banks Sushil Kedia,183.389999
2014-10-13,PSU recapitalisation Golden share option govt,184.059998
2014-10-10,Buy Baroda Sukhani,179.979996
2014-10-01,Buy Corporation says Sudarshan Sukhani,175.850006
2014-09-26,may raise capital rights issue next fiscal,178.990005
2014-09-25,Buy BPCL Sudarshan Sukhani,174.020004
2014-09-24,Federal recovers Rs 10 cr dues Kingfisher AirPrefer Punjab says Gautam Chhaochharia Super Six trading stocks short term gain,185.419998
2014-09-22,Suzlon needs leadership outside promoter family IiAS,197.860001
2014-09-16,Buy Punjab target Rs 695 Firstcall ResearchBuy 760 call sell 780 call Bhavin Desai,192.820007
2014-09-15,raises Rs 500cr Tierll bonds,199.929993
2014-09-12,revises interest rates FCNRB depositsPunjab sells 30 stake IFFSL Fll,196.869995
2014-09-09,raises Rs 500cr capital Tier2 bondsPrefer Baroda Baliga,190.259995
2014-09-04,Book profits around Rs 800 Abhijit Paul,188.509995
2014-09-01,Book profits says Krish Subramanium,195.339996
2014-08-26,opens 120 branches 120th Foundation Day,191.089996
2014-08-22,Buy Maruti Suzuki Hero Motocorp Sudarshan Sukhani,196.889999
2014-08-19,Buy Punjab Sudarshan Sukhani,187.5
2014-08-14,Super Six stocks bet April 28,182.070007
2014-08-12,revises interest rate FCNRB deposits,183.839996
2014-08-07,Quant Capital upbeat PSU banks sees upside BoI,185.270004
2014-08-06,Buy sell BoB Amit Trivedi,189.929993
2014-08-04,Hold long term says Phani Sekhar Buy advises Sudarshan Sukhani 4 trading stocks short term gain,193.520004
2014-08-01,Exit says SP Tulsian PSB rally continue despite weak results Experts Should maintain NII margin 325 Punjab Q4 net dips 29 Rs 806 crorePNB Q4 PAT may fall 297 Rs 7952 cr Motilal Oswal,190.690002
2014-07-31,Winsome may get wilful defaulter tag soonHold Punjab target Rs 838 SharekhanBuy target Rs 950 Motilal OswalOverall cautious banks hold BoB IDBI Capital Hold Punjab says Jignesh Shial Hold Punjab target Rs 825 ICICIdirectAccumulate target Rs 920 Dolat Capital,191.350006
2014-07-30,Q4FY14 Earnings Emkay reviews ICRA Tech Mahindra,195.669998
2014-07-28,Accumulate target Rs 1050 KRChoksey,187.960007
2014-07-25,Hold Punjab VenturaModis leadership assures acche din 8 PSUsSuper Six short term picks May 26,184.740005
2014-07-18,Initiate short advises Chandan Taparia Super Six short term picks May 28,185.800003
2014-07-15,Higher capital infusion PSU banks unlikely Banking Secy,185.419998
2014-07-14,Jammu Kashmir plans exit MetLife Insurance,180.020004
2014-07-09,Super Six Top chart picks June 9,184.779999
2014-07-07,Prefer RIL LT dips Ambareesh Baliga,193.970001
2014-07-04,Punjab Banks director Aradhana Misra resigns,196.009995
2014-07-02,Super Six stocks likely see lot action today,198
2014-07-01,Outcome AGM,199.300003
2014-06-30,Prefer private sector banks PSU banks BP Singh Super Six stocks likely see lot action today,198.440002
2014-06-16,Pick BoB Parag Thakkar,189.330002
2014-06-12,12 Budget measures expect stocks likely benefit DB,195.889999
2014-06-09,Prefer BoB Dhirendra Tiwari,204.699997
2014-06-05,Punjab Banks Q1 results July 25 2014,198.800003
2014-06-04,Punjab Updates outcome AGMIT autos outperform Q1FY15 oil firms may drag BNP,199.429993
2014-05-28,Remain invested Pankaj Jain Buy advises Sanjay Dutt,194.429993
2014-05-26,Expect asset quality improve going ahead Q1 bad maintain accumulate IDBI CapPNB Q1 profit beats forecast 10 asset quality weak Q1 profit seen 10 asset quality NIM key Poll Q1 net may dip 20 Rs 10223 cr Prabhudas LilladherPNB AprilJune qtr PAT seen 134 Rs 14465 cr EmkayPNB Q1 PAT seen 15 Rs 10831 cr ICICIdirect,204.570007
2014-05-22,Buy target Rs 1156 ICICIdirectBuy target Rs 1160 SharekhanBuy target Rs 1150 Dolat CapitalBuy advises Sudarshan Sukhani Punjab value buy Prakash Diwan,197.020004
2014-05-15,Accumulate target Rs 1025 PLilladher,171.039993
2014-05-14,Hold Punjab target Rs 710 Emkay,166.880005
2014-05-13,revises interest rates FCNR B deposits,160.050003
2014-05-12,Buy Sudarshan Sukhani,167.029999
2014-05-08,Prefer Punjab Sudarshan Sukhani,156.160004
2014-05-06,Stay away PSU banks Ambareesh Baliga,157.080002
2014-05-05,wants external agency run Bhushan Steel,157.229996
2014-05-02,Accumulate target Rs 1050 KRChoksey,155.210007
2014-04-28,Highly positive says auditor Kingfisher siphoning funds,159.169998
2014-04-23,Buy UltraTech Cement Havells India Sudarshan Sukhani Bhushan Steel remains standard asset United,161.009995
2014-04-21,Hold State India Pritesh Mehta may test Rs 10401050 Pritesh Mehta Buy 960 Call 2480 Call VK Sharma,161.050003
2014-04-09,KFA case Decoding implications wilful defaulter tag United declares Vijay Mallya wilful defaulter,156.490005
2014-04-04,Punjab raise Rs 500 crore via bondsAmbareesh Baliga cautious PSU banks,150.339996
2014-04-03,Buy Punjab Manas Jaiswal,148.330002
2014-04-01,Siddharth Bhamre positive PSU banks,147
2014-03-31,may test Rs 1015 Hemant Thukral,148.779999
2014-03-28,Prefer OBC Parag Thakkar After likely revise deposit rates 15 days,150.050003
2014-03-27,Stay says Kunal Bothra Sell rallies Phani Sekhar Check Buyingselling ideas market experts board okays stock split Rs 10 face value Rs 2 approves split equity shares,141
2014-03-25,Why PSBs may bridge valuation gap private banksSupreme Court coal ruling Who gets hit doesntPNB may test Rs 880890 says Yogesh Mehta SC quashes 204 coal blocks allocation fines cos Rs 295tn,133.860001
2014-03-24,Super Six Top chart picks September 25,132.429993
2014-03-22,revises interest rates FCNRB deposits,null
2014-03-20,cuts term deposit rates 1 year 85 revises interest rates deposits,126.519997
2014-03-18,Baroda raises deposit rate 875 8Buy Glenmark Pharma TCS Sudarshan Sukhani Punjab Banks Q2 results October 21 2014,127.190002
2014-03-13,Punjab Q2 profit may see 142 growth Poll Buy UltraTech Cement ONGC Mayuresh Joshi,123.25
2014-03-11,Poor Q2 nos reflect higher provisions NPAs PNBPNB Q2 disappoints retain accumulate stock Nirmal Bang Q2 misses estimates net rises 14 asset quality weak JulySep qtr net seen 155 Rs 1314cr ICICIdirectPNB Q2 net seen 1222 Rs 11233 cr Motilal Oswal,125.190002
2014-03-07,appoints K R Kamath Chairman MD,123.43
2014-03-06,Accumulate target Rs 1050 Dolat Capital,118.959999
2014-03-05,Avoid midcap space Siddharth Bhamre,118.370003
2014-02-28,Andhra BoI cut deposit rates revises interest rates FCNRB deposits,110.440002
2014-02-24,Buy target Rs 1250 Religare CapitalAccumulate target Rs 1015 KRChoksey,107.830002
2014-02-20,revises interest rates deposits,106.239998
2014-02-18,Short target Rs 885 Amit Harchekar Accumulate target Rs 1025 P LilladherBuy target Rs 1193 Motilal Oswal,108.599998
2014-02-17,Buy target Rs 1060 ICICIdirect,106.489998
2014-02-11,Hold Punjab target Rs 770 Emkay,109.32
2014-02-07,Buy Bharti Airtel dips Siddarth Bhamre,111.139999
2014-02-06,Super Six stocks bet November 19,110.040001
2014-02-05,Buy sell JSW Steel Manas Jaiswal Buy Kotak Mah every dip stay invested 23 yrsDeven,112.18
2014-01-31,10 names shortlisted appointment CMDs 8 PSU banksBuy Sudarshan Sukhani Prefer Sudarshan Sukhani,109.510002
2014-01-30,Top 10 stocks keep eye November 26,103.519997
2014-01-29,Buy 1000 Call says VK Sharma,108.089996
2014-01-27,Buy target Rs 1150 Rahul Shah,109.550003
2014-01-23,may test Rs 1150 Kunal Bothra,121.980003
2014-01-22,Buy 1100 Call sell 1160 Call Krish Subramanium,123.559998
2014-01-16,Check What buy plunging market Buy Punjab Kunal Bothra Short Punjab Manas Jaiswal Here top 10 stocks focus December 16,123.389999
2014-01-07,Go long says Kunal Bothra,120.459999
2014-01-03,Prefer India Mayuresh Joshi,123.650002
2014-01-01,Government appoints MD CEOs 4 public sector banks Prefer UCO Dilip Bhat,126.980003
2015-12-31,Stay invested says Gaurav Bissa Remain invested Gaurav Bissa Go long PSU banks BP Singh Gyan Sangam morale booster PSBs Bankers Here top 10 stocks keep eye January 5,115.699997
2015-12-30,Sell Punjab Chandan Taparia,117.800003
2015-12-29,Buy Punjab says Rajat Bose,120
2015-12-28,Pick Punjab Harendra Kumar Prefer Axis Harendra Kumar,120.449997
2015-12-24,Naresh Goyal pledges entire 51 Jet Airways stake PNBSee rate cut coming Budget Vibhav Kapoor overweight PSU banks advises investing,120.099998
2015-12-22,Sell Tata Steel Manas Jaiswal,120.650002
2015-12-21,Updates deferment EGM held Feb 13 2015,122.550003
2015-12-15,See another 75100 bps rate cut FY16 SBICap Securities Prefer Mahantesh Sabarad,121.550003
2015-12-14,Punjab Banks Q3 results February 03 2015,124.699997
2015-12-08,Short Siddarth Bhamre,131.899994
2015-12-07,Buy Indraprastha Gas Asian Paints Sudarshan Sukhani,133.899994
2015-12-04,Vaibhav Agrawal positive PSU banksSuzlon sells German arm Senvion euro 1 bn cut debt,134.5
2015-12-01,may touch Rs 175 says Amit Harchekar,143.800003
2015-11-30,Short HCL Tech says Chandan Taparia Sell says Chandan Taparia,144.399994
2015-11-27,Fresh slippages restructured book BoB worry IDBI Cap,144.300003
2015-11-26,Buy BOI dips Siddharth Bhamre,139.949997
2015-11-24,Outcome board meeting EGM March 19 2015Punjab Q3 net may jump 23 Rs 930 cr Poll,138
2015-11-23,Stay invested says Nooresh Merani May see slippages worth Rs 500700cr Q4 Punjab Natl Bk Experts give Punjab Banks Q3 nos thumbs Q3 disappoints profit 25 asset quality worsens,138.800003
2015-11-18,Bad loans rise three midsized state lendersLook BoB Sudarshan Sukhani,136.149994
2015-11-17,Look ICICI Siddharth Bhamre Exit look ICICI Gaurang Shah Buy PSU banks correction says Deven Choksey,140.850006
2015-11-16,Hold Baroda Nooresh Merani raises Rs 1000 cr long term bondsPunjab raises Rs 1000cr long term bonds,140.149994
2015-11-09,Buy prefer Maruti Suzuki Sudarshan Sukhani 11 stocks keep eye Emkay,135.25
2015-11-06,Punjab raises Rs 1500 cr,132.899994
2015-11-05,Absence top mgmt impacting PSU banks Q3 nos,129.600006
2015-11-03,Govt infuse Rs 870 cr Punjab,130.25
2015-10-29,Look Suzlon Energy Sudarshan Sukhani,128.850006
2015-10-28,Here top 10 stocks focus February 24,130.5
2015-10-21,Govt clears criteria appoint 5 PSU chiefs Look financial space R Sreesankar,135.75
2015-10-20,Mere mgmt head selection wont impact earnings IDBI Cap Here top 10 stocks focus February 27,138.199997
2015-10-15,Sunil Gupta ceases director,137.350006
2015-10-13,Short Punjab Amit Harchekar,136.649994
2015-10-08,Here top 10 stocks focus March 5,139.050003
2015-10-07,Sell Hindalco Chandan Taparia,138.949997
2015-10-05,Buy Manoj Murlidharan,136.100006
2015-10-01,Short advises Sudarshan Sukhani Here top 10 stocks focus March 16,132.449997
2015-09-30,Short Andhra Dena Sudarshan Sukhani Here top 10 stocks keep eye March 23,133.25
2015-09-28,Stay invested Mayuresh Joshi Short target Rs 148151 Ashish Chaturmohta,134.850006
2015-09-24,Short OBC UCO Sudarshan Sukhani,135.850006
2015-09-18,Sell Coal India Chandan Taparia Short target Rs 135 Amit Harchekar,138.550003
2015-09-16,Buy Biocon sell Manas Jaiswal PNBs EGM May 15 2015Exit around Rs 158160 Sameet Chavan Look BOI LT ICICI Siddharth Bhamre,136.5
2015-09-14,Check Investment ideas market experts Hold Punjab Mayuresh Joshi receives Rs 870cr Govt IndiaHere top 10 stocks keep eye April 1 Over 250 cos appoint women directors meet Sebi deadline,137.199997
2015-09-10,Central tops list highest NPAs among PSU banks,133.949997
2015-09-08,Axis YES top picks Mayuresh Joshi Exit India Cements Sudarshan Sukhani,132.850006
2015-09-04,Buy Century Textiles Kunal Saraogi Punjab Updates outcome EGM,130.75
2015-09-01,Hold advises Hemant Thukral,134.800003
2015-08-31,Buy BoB Sudarshan Sukhani Prefer ICICI Tushar Mahajan,144.850006
2015-08-28,Punjab cuts fixed deposit rates 025Keep BOI portfolio Vineet Bhatnagar,143.25
2015-08-27,Go long PSU banks Siddharth Bhamre Buy DLF 150 Put 160 Put TVS Motor 240 Put VK Sharma revises interest rates term deposits,145.899994
2015-08-25,Look State India Dipan Mehta,144.149994
2015-08-24,Prefer YES Sudarshan Sukhani,142.600006
2015-08-19,Q4 profit net interest income may rise 8 Poll Look IndusInd Mehraboon Irani Prefer private banks Devang Mehta,168
2015-08-18,Pick PSU banks long term says Neeraj Deewan Eye lower slippages ahead says PNBs Gauri Shankar Q4 estimates asset quality concern Experts Q4 disappoints profit tanks 62 asset quality weak,170.600006
2015-08-17,Sell target Rs 132 EmkayBuy Punjab target Rs 177 ICICIdirectAccumulate target Rs 165 KRChokseyAccumulate target Rs 165 KRChoksey,173.300003
2015-08-14,Q4 earnings Religare Cap prefers Axis ICICI Bk,166.25
2015-08-13,Corporation cuts lending rate 025Go long Crompton Greaves Siddarth Bhamre,152.850006
2015-08-07,Prefer BoB Sudarshan Sukhani,159.899994
2015-08-06,Punjab AGM June 30 2015Will focus retail SME agri next 12 yrs,161.949997
2015-08-05,Buy Voltas pick YES look BHEL HDIL CK Narayan,159
2015-08-03,Punjab may hit Rs 125130 Sudarshan Sukhani revise interest rates domestic term depositsPNB cuts fixed deposit rate 025 select maturities,155.050003
2015-07-31,Here four private sector banks Kotak bullish,151
2015-07-30,Federal slashes base rate 25 bps 995Dipan Mehta neutral banking stocks,151.100006
2015-07-29,United India cuts lending rate 01,137.649994
2015-07-28,Pvt bankers interviewed CEOMD post,141.850006
2015-07-27,Buy Kotak Mahindra 1280 Put advises VK Sharma,135.149994
2015-07-23,Have monetise assets worth Rs 1k cr CDR Ramky,139.649994
2015-07-22,HDFC cuts lending rate 015,139.050003
2015-07-14,11 shortlisted PSU banks MD post,144.699997
2015-07-10,United Bk tops list highest bad loans among PSU lenders,145.100006
2015-07-09,Buy Ashok Leyland Titan Company sell Gaurav Bissa,143.899994
2015-07-08,Govt soon appoint heads major PSU banks RajanAim maintain 12 CAR next 45 years,142.449997
2015-07-07,BSNL launches mobile wallet cash withdrawal optionPrefer PSU banks private sector banks Siddarth Bhamre,145.100006
2015-07-03,KEC International good bet says Mehraboon Irani,142.300003
